inventory_id,component_id,warehouse,current_stock,usable_stock,daily_usage,safety_stock
INV-101,COMP-101,Pune-Plant-1,850,820,45,150
INV-102,COMP-102,Pune-Plant-1,620,580,38,120
INV-103,COMP-103,Pune-Plant-1,180,165,22,80
INV-104,COMP-104,Pune-Plant-1,420,390,90,150
INV-105,COMP-105,Pune-Plant-1,240,210,28,90
INV-106,COMP-106,Pune-Plant-1,95,90,12,40
INV-107,COMP-107,Pune-Plant-1,380,360,42,120
INV-108,COMP-108,Pune-Plant-1,290,270,32,100
INV-109,COMP-109,Pune-Plant-2,1200,1150,95,300
INV-110,COMP-110,Pune-Plant-1,540,510,55,180
INV-111,COMP-111,Pune-Plant-1,280,265,30,100
INV-112,COMP-112,Pune-Plant-2,2800,2650,180,600
INV-113,COMP-113,Pune-Plant-1,480,460,52,160
INV-114,COMP-114,Pune-Plant-2,3200,3100,220,700
INV-115,COMP-115,Pune-Plant-1,85,80,10,35
INV-116,COMP-116,Pune-Plant-1,190,175,18,60
INV-117,COMP-117,Pune-Plant-1,145,135,15,50
INV-118,COMP-118,Pune-Plant-2,920,890,75,250
INV-119,COMP-119,Pune-Plant-2,4200,4100,280,900
INV-120,COMP-120,Pune-Plant-1,680,650,58,190
INV-121,COMP-121,Pune-Plant-2,28000,27500,1800,6000
INV-122,COMP-122,Pune-Plant-2,18000,17800,1200,4000
INV-123,COMP-123,Pune-Plant-2,22000,21500,1500,5000
INV-124,COMP-124,Pune-Plant-1,980,950,65,200
INV-125,COMP-125,Pune-Plant-1,4800,4700,310,1000
INV-126,COMP-126,Pune-Plant-1,1200,1180,80,260
INV-127,COMP-127,Pune-Plant-1,850,830,55,180
INV-128,COMP-128,Pune-Plant-2,9500,9400,620,2000
INV-129,COMP-129,Pune-Plant-2,12000,12000,800,2500
INV-130,COMP-130,Pune-Plant-2,5000,5000,320,1000
INV-131,COMP-131,Pune-Plant-2,3500,3500,220,700
INV-132,COMP-132,Pune-Plant-2,8000,8000,520,1700
