po_id,component_id,supplier_id,quantity,expected_delivery,status,unit_price,total_value,approval_threshold
PO-7712,COMP-104,SUP-21,1000,2026-09-04,delayed,118.00,118000.00,150000.00
PO-7801,COMP-101,SUP-01,500,2026-09-10,placed,245.00,122500.00,150000.00
PO-7802,COMP-102,SUP-03,300,2026-09-08,placed,372.00,111600.00,150000.00
PO-7803,COMP-103,SUP-02,200,2026-09-14,delayed,920.00,184000.00,150000.00
PO-7804,COMP-105,SUP-01,150,2026-09-12,placed,560.00,84000.00,150000.00
PO-7805,COMP-106,SUP-01,80,2026-09-20,placed,1250.00,100000.00,150000.00
PO-7806,COMP-107,SUP-02,200,2026-09-09,placed,340.00,68000.00,150000.00
PO-7807,COMP-109,SUP-04,500,2026-09-07,placed,175.00,87500.00,150000.00
PO-7808,COMP-110,SUP-03,300,2026-09-11,placed,290.00,87000.00,150000.00
PO-7809,COMP-112,SUP-06,1000,2026-09-06,placed,95.00,95000.00,150000.00
PO-7810,COMP-113,SUP-01,400,2026-09-08,placed,185.00,74000.00,150000.00
PO-7811,COMP-101,SUP-02,300,2026-09-15,delayed,258.00,77400.00,150000.00
PO-7812,COMP-105,SUP-37,100,2026-09-18,delayed,580.00,58000.00,150000.00
PO-7813,COMP-116,SUP-03,150,2026-09-22,delayed,480.00,72000.00,150000.00
PO-7814,COMP-108,SUP-01,200,2026-09-25,delayed,480.00,96000.00,150000.00
PO-7815,COMP-114,SUP-02,1000,2026-09-05,delivered,68.00,68000.00,150000.00
PO-7816,COMP-118,SUP-07,500,2026-08-28,delivered,145.00,72500.00,150000.00
PO-7817,COMP-120,SUP-05,400,2026-08-25,delivered,215.00,86000.00,150000.00
PO-7818,COMP-119,SUP-08,2000,2026-08-20,delivered,28.00,56000.00,150000.00
PO-7819,COMP-109,SUP-06,600,2026-08-18,delivered,168.00,100800.00,150000.00
PO-7820,COMP-111,SUP-05,200,2026-08-15,delivered,420.00,84000.00,150000.00
PO-7821,COMP-106,SUP-03,50,2026-09-30,placed,1180.00,59000.00,150000.00
PO-7822,COMP-117,SUP-04,100,2026-10-05,placed,620.00,62000.00,150000.00
PO-7823,COMP-115,SUP-37,50,2026-09-28,cancelled,1850.00,92500.00,150000.00
PO-7824,COMP-103,SUP-37,100,2026-08-10,cancelled,940.00,94000.00,150000.00
