supplier_component_id,supplier_id,component_id,unit_price,lead_time_days,available_quantity,minimum_order_quantity,certifications,expedite_available,expedite_fee
SC-01-101,SUP-01,COMP-101,245.00,4,2000,200,Automotive-Grade|IATF-16949,true,15000.00
SC-02-101,SUP-02,COMP-101,258.00,5,1500,200,Automotive-Grade|ISO-9001,true,18000.00
SC-04-101,SUP-04,COMP-101,231.00,7,1800,300,ISO-9001,false,0.00
SC-01-102,SUP-01,COMP-102,385.00,5,1200,150,IATF-16949|ISO-9001,true,20000.00
SC-03-102,SUP-03,COMP-102,372.00,4,1000,150,IATF-16949|Automotive-Grade,true,22000.00
SC-05-102,SUP-05,COMP-102,398.00,6,900,200,ISO-9001,false,0.00
SC-02-103,SUP-02,COMP-103,920.00,7,800,100,AEC-Q100|IATF-16949,true,35000.00
SC-03-103,SUP-03,COMP-103,895.00,6,600,100,AEC-Q100|ISO-9001,true,30000.00
SC-37-103,SUP-37,COMP-103,940.00,8,1000,100,AEC-Q100|IATF-16949|ISO-9001,false,0.00
SC-21-104,SUP-21,COMP-104,118.00,5,1000,300,ISO-9001|Automotive-Grade,true,0.00
SC-42-104,SUP-42,COMP-104,132.00,4,700,300,ISO-9001|Automotive-Grade,true,12000.00
SC-37-104,SUP-37,COMP-104,128.00,6,1200,300,ISO-9001|Automotive-Grade,false,0.00
SC-18-104,SUP-18,COMP-104,110.00,3,1000,200,ISO-9001,true,0.00
SC-01-105,SUP-01,COMP-105,560.00,6,500,100,AEC-Q100|Automotive-Grade,true,25000.00
SC-02-105,SUP-02,COMP-105,545.00,7,400,100,AEC-Q100|ISO-9001,false,0.00
SC-37-105,SUP-37,COMP-105,580.00,5,600,100,AEC-Q100|IATF-16949,true,28000.00
SC-01-106,SUP-01,COMP-106,1250.00,8,300,50,IATF-16949|Automotive-Grade,true,40000.00
SC-03-106,SUP-03,COMP-106,1180.00,9,250,50,IATF-16949|ISO-9001,false,0.00
SC-02-107,SUP-02,COMP-107,340.00,5,800,100,Automotive-Grade|ISO-9001,true,20000.00
SC-04-107,SUP-04,COMP-107,325.00,6,600,150,ISO-9001,true,16000.00
SC-01-108,SUP-01,COMP-108,480.00,6,700,100,Automotive-Grade|AEC-Q100,true,22000.00
SC-05-108,SUP-05,COMP-108,465.00,7,500,100,ISO-9001,false,0.00
SC-04-109,SUP-04,COMP-109,175.00,4,1500,200,ISO-9001,true,10000.00
SC-06-109,SUP-06,COMP-109,168.00,5,1200,200,ISO-9001,true,9000.00
SC-09-109,SUP-09,COMP-109,155.00,7,2000,300,ISO-9001,false,0.00
SC-03-110,SUP-03,COMP-110,290.00,5,1000,100,IATF-16949|ISO-9001,true,18000.00
SC-04-110,SUP-04,COMP-110,275.00,6,800,150,ISO-9001,true,14000.00
SC-10-110,SUP-10,COMP-110,248.00,9,1500,200,ISO-9001,false,0.00
SC-05-111,SUP-05,COMP-111,420.00,6,600,100,ISO-9001,true,20000.00
SC-07-111,SUP-07,COMP-111,405.00,7,500,100,ISO-9001,false,0.00
SC-06-112,SUP-06,COMP-112,95.00,3,3000,300,ISO-9001,true,8000.00
SC-08-112,SUP-08,COMP-112,88.00,5,2500,300,ISO-9001,true,6000.00
SC-11-112,SUP-11,COMP-112,78.00,8,4000,500,ISO-9001,false,0.00
SC-01-113,SUP-01,COMP-113,185.00,4,1200,150,Automotive-Grade|ISO-9001,true,12000.00
SC-42-113,SUP-42,COMP-113,195.00,3,1000,150,Automotive-Grade|ISO-9001,true,14000.00
SC-02-114,SUP-02,COMP-114,68.00,4,5000,500,ISO-9001,true,6000.00
SC-06-114,SUP-06,COMP-114,62.00,6,4000,500,ISO-9001,false,0.00
SC-37-115,SUP-37,COMP-115,1850.00,10,200,25,AEC-Q100|IATF-16949,false,0.00
SC-01-115,SUP-01,COMP-115,1920.00,8,150,25,AEC-Q100|Automotive-Grade,true,50000.00
SC-03-116,SUP-03,COMP-116,480.00,6,400,50,AEC-Q100|ISO-9001,true,22000.00
SC-05-116,SUP-05,COMP-116,465.00,7,350,50,ISO-9001,false,0.00
SC-04-117,SUP-04,COMP-117,620.00,7,300,50,IATF-16949,true,25000.00
SC-42-117,SUP-42,COMP-117,598.00,5,250,50,IATF-16949|ISO-9001,true,22000.00
SC-07-118,SUP-07,COMP-118,145.00,4,2000,200,ISO-9001,true,9000.00
SC-09-118,SUP-09,COMP-118,138.00,6,1800,200,ISO-9001,false,0.00
SC-08-119,SUP-08,COMP-119,28.00,3,10000,1000,ISO-9001,true,3000.00
SC-11-119,SUP-11,COMP-119,24.00,5,15000,1000,ISO-9001,false,0.00
SC-05-120,SUP-05,COMP-120,215.00,5,1500,150,Automotive-Grade|ISO-9001,true,12000.00
SC-07-120,SUP-07,COMP-120,205.00,6,1200,150,ISO-9001,false,0.00
SC-08-121,SUP-08,COMP-121,12.00,5,50000,5000,ISO-9001,true,2000.00
SC-10-122,SUP-10,COMP-122,18.00,6,30000,3000,ISO-9001,false,0.00
SC-09-123,SUP-09,COMP-123,8.00,7,40000,5000,,false,0.00
SC-06-124,SUP-06,COMP-124,145.00,8,2000,100,ISO-9001,false,0.00
SC-11-125,SUP-11,COMP-125,35.00,5,10000,500,,false,0.00
SC-10-126,SUP-10,COMP-126,88.00,7,3000,200,ISO-9001,false,0.00
SC-09-127,SUP-09,COMP-127,125.00,6,2500,200,ISO-9001,false,0.00
SC-11-128,SUP-11,COMP-128,22.00,4,20000,2000,,true,1500.00
SC-10-129,SUP-10,COMP-129,15.00,7,50000,1000,,false,0.00
